"id","name","type","description","img","iconx","icony"
"455","Xbox Game Studios","50",,"0","28","1"
"456","343 Industries","50",,"0","29","1"
"457","Compulsion Games","50",,"0","30","1"
"458","Double Fine Productions","50",,"0","31","1"
"459","inXile Entertainment","50",,"0","32","1"
"460","Mojang Studios","50",,"0","33","1"
"461","Ninja Theory","50",,"0","34","1"
"462","Obsidian Entertainment","50",,"0","35","1"
"463","Playground Games Limited","50",,"0","36","1"
"464","Rare Limited","50",,"0","37","1"
"465","The Coalition","50",,"0","38","1"
"466","Turn 10 Studios","50",,"0","39","1"
"467","Undead Labs","50",,"0","20","2"
"468","AltspaceVR","162",,"0","21","2"
"469","Havok","149",,"0","22","2"
"470","Xamarin","149",,"0","23","2"
"471","Shazam","139",,"0","26","2"
"472","Postmates","157",,"0","27","2"
"473","The Kroger Company","125",,"0","28","2"
"474","Fred Meyer","125",,"0","29","2"
"475","Fry's Food and Drug","37",,"0","30","2"
"476","Harris Teeter Supermarkets","37",,"0","31","2"
"477","Home Chef","163",,"0","32","2"
"478","King Soopers","37",,"0","33","2"
"479","City Market","37",,"0","34","2"
"480","Ralphs","37",,"0","35","2"
"481","Roundy's","37",,"0","36","2"
"482","Smith's Food and Drug","37",,"0","37","2"
"483","Vitacost.com","45",,"0","38","2"
"484","Murray's Cheese","214",,"0","39","2"
"485","Cerberus Capital Management","64",,"0","20","3"
"486","Albertsons Companies","37",,"0","21","3"
"487","Acme Markets","37",,"0","22","3"
"488","Jewel-Osco","37",,"0","23","3"
"489","Lucky Stores","37",,"0","24","3"
"490","Safeway","37",,"0","26","3"
"491","Shaw's and Star Market","37",,"0","27","3"
"492","United Supermarkets","37",,"0","28","3"
"493","Vons","37",,"0","29","3"
"494","Remington Outdoor Company","164",,"0","30","3"
"495","Advanced Armament Corporation","164",,"0","31","3"
"496","Bushmaster Firearms International","164",,"0","32","3"
"497","DPMS Panther Arms","164",,"0","33","3"
"498","H&R 1871","164",,"0","34","3"
"499","Marlin Firearms Co.","164",,"0","35","3"
"500","Para USA","164",,"0","36","3"
"501","Remington Arms Company","164",,"0","37","3"
"502","BAWAG P.S.K.","165",,"0","38","3"
"503","Haggen Food & Pharmacy","37",,"0","39","3"
"504","Pavilions","37",,"0","20","4"
"505","Randalls","37",,"0","21","4"
"506","Tom Thumb","37",,"0","22","4"
"507","Blue Bird Corporation","126",,"0","23","4"
"508","DynCorp International","166",,"0","24","4"
"509","Steward Health Care System","58",,"0","25","4"
"510","Dillons Supermarkets","37",,"0","26","4"
"511","Baker's Supermarkets","37",,"0","27","4"
"512","Owen's Market","37",,"0","28","4"
"513","Pay Less Super Markets","37",,"0","29","4"
"514","JayC Food Stores","37",,"0","30","4"
